机型,制造序列号,机号,参考类型,指令类型,件号,序号,章节号,非计划,故障确认,拆换原因,安装日期,部件装上飞行小时数,部件装上飞行循环数,部件装上使用小时数,部件装上使用循环数,拆换日期,部件拆下飞行小时数,部件拆下飞行循环数,部件拆下使用小时数,部件拆下使用循环数,故障描述,部件本次装机使用小时,故障处理,部件本次装机使用循环,装上件号,装上序号,最近送修公司,CY TSN,FH TSN,送修至拆下时间/FH,送修至拆下时间/CY,件号描述,DEF#,TLB号
73C,73C02581,2938    ,DE    ,CC    ,887477                  ,MX-543639       ,29, , ,SCH   ,2007-02-15,38954:34,26793,3688:13,2348,2009-06-13,46478:14,31526,11211:53,7081,,7523:40,  航后完成工卡MAOTS290029更换A系统EMDP，安装测试正常，挂签号：2025277AF:ACCOMPLISHED MAOTS290029 REPLACED THE A SYSTEM EMDP INSTALLEDAND TESTED IT OK. TAG:2025277.  钟远峰,4733,57186-10                ,K2118           ,武汉航达,30041.0,46797.47,7523:40,4733,(AOG)HDY MOTOR DRIVE PUMP                                   ,723842,0006640 
73C,73C02557,2937    ,DE    ,CC    ,887477                  ,MX-543639       ,29,X,X,FAIL  ,2006-03-03,36309:56,23871,1412:06,949,2006-11-23,38586:03,25270,3688:13,2348,定检中检查发现液压A系统EMDP本体漏油,2276:07, 依据AMM29-15-22更换新件冰测试正常。郭立庆 挂签号0101350PN:NAS1612-6 NAS1612-10 NAS1612-12,1399,57186-10                ,161056          ,武汉航达,26671.0,46402.32,2276:07,1399,(AOG)HDY MOTOR DRIVE PUMP                                   ,355981,10173715
73C,73C02859,2982    ,DE    ,CC    ,887477                  ,MX-492433       ,29,X,X,FAIL  ,2008-11-11,35427:06,21292,46978:27,29351,2009-01-23,35978:01,21624,47529:22,29683,航后检查发现B系统EMDP泵静态渗漏液压油超标。AF find SYS B EMDP pumpleakage to limit.饶桥,550:55,"   航后依据AMM29-15-22更换B系统EMDP泵，测试系统工作正常。无渗漏. AF  refto AMM29-15-22to replaced SYS B EMDPpump .tested normal. and noleakage found.饶桥 
封圈：NAS1612-12;NAS1612-6;NAS1612-10",332,57186-10                ,278366          ,武汉航达,6.0,10.01,550:55,332,(AOG)HDY MOTOR DRIVE PUMP                                   ,651615,10272674
73C,73C02811,2970    ,NRC   ,CC    ,887477                  ,MX652408        ,29,X,X,FAIL  ,2012-01-12,46146:16,28883,15736:41,9248,2012-07-10,47399:21,29603,16989:46,9968,"液压A系统EMDP泵漏油需更换.(安装/INSTALL P/N:887477  S/N:MX621721)
INSTEAD THE SYS A EMDP FOUND LEAKAGE.",1253:05,"    1
1-1.  参考AMM29-15-22拆下A系统EMDP 
REFER TO AMM29-15-22 REMOVED SYS A EMDP 
1-2.  参考AMM29-15-22安装A系统EMDP. 
REFER TO AMM29-15-22 INSTALLED SYS A EMDP RII
1-3.  参考AMM29-15-22做相关测试,结果符合手册要
求. 
REFER TO AMM29-15-22 DO PUMP INSTALLATION TEST,THE TEST RESULT MEET THE MANAUL REQUIRES 
",720,887477                  ,MX615683A       ,武汉航达,29608.0,47410.35,1253:05,720,(AOG)HDY MOTOR DRIVE PUMP                                   ,527216,
73N,73N01033,2158    ,DE    ,CC    ,887477                  ,MX621721        ,29,X,X,FAIL  ,2014-11-14,44194:57,21867,29736:24,19953,2015-02-17,45122:36,22286,30664:03,20372,空中2号电动泵液压泵低压灯亮.      机组,927:39,"    航后检查A系统EMDP泵不工作,量线上游供电电压正常,依据AMM29-11-21更换A系统EMDP泵, 测试无渗漏.工作正常.     顾建AF check found the AC pump don't work of A system mesure the poweris normal of up line refer to AMM29-11-21 replace the AC pump of Asystem test is normal   封圈P/N NAS1612-6 NAS1612-10 NAS1612-12",419,57186-10                ,K0654           ,武汉航达,35617.0,66375.04,927:39,419,(AOG)HDY MOTOR DRIVE PUMP                                   ,3082321,00002823
73N,73N04159,1902    ,DE    ,CC    ,887477                  ,MX760495        ,29,X,X,FAIL  ,2012-08-16,00:00,0,00:00,0,2017-08-11,15798:30,8069,15798:30,8069,液压B系统过热灯亮    DLC机务THE OVERHEAT OF HYD B SYSTEM IS ON,15798:30,"     检查B系统EMDP 本体供电插头及底座有损伤,依据AMM29-11-21更换B系统EMDP 和供电插头,完成安装测试.结果无渗漏 过热灯未亮,B泵压力3110 PSI CHEKC SYS B EMDP DOWER SUPPLYCONNECTOR IS CORRDSION REPACLE THE EMDP AND COMNECTOR ANDTEST NO KLEAKAGE OVERHEAT SI OFF REF AMM28-11+-21插头:BACC63CB18-85N",8069,887477                  ,MX761314        ,,8711.0,16861.43,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,5225002,00006321
73N,73N05384,1433    ,DE    ,CC    ,887477                  ,MX785131        ,29,X,X,FAIL  ,2015-04-21,00:00,0,00:00,0,2017-10-26,6875:57,4679,6875:57,4679,检查发现B系统的EMDP本体漏油.陈斌龙 check and found the EMDP B hasleakage,6875:57,"      航后依据AMM29-11-21更换液压B系统EMDP.恢复正常.未完成相关测试.陈斌龙AF refer to AMM29-11-21 repalce the EMDP of hgdralic system B back tonormal not accomplish the  test
FROM FLB 00023466A依据AMM29-11-21完成更换EMDO(B系统)完成的相关测试工作.测试符合手册要求.党金刚 refer to AMM29-11-21 accomplish the EMDP test it okPN:NAS1612-12 PN:NAS1612-10 PN:NAS1612-6A
",4679,887477                  ,MX759530        ,,6765.0,13792.19,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,5461000,00023464
73N,73N04281,1559    ,DE    ,CC    ,887477                  ,MX763411        ,29,X,X,FAIL  ,2012-11-28,00:00,0,00:00,0,2018-10-31,16232:14,8726,16232:14,8726,B系统EMDP过热灯亮.   张生龙B EMDP overheat lighting,16232:14,"  依据手册AMM29-11-21.更换B系统EMDP,更换插头测试正常.  张生龙refer to AMM29-11-21 replace B EMDP and plug test is normal插头 plug   BACC63CB18A8SN",8726,887477                  ,MX-555477       ,,38140.0,63706.57,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,6747651,00037356
73N,73N00551,5089    ,DE    ,CC    ,887477                  ,MX621721        ,29,X,X,FAIL  ,2000-05-15,00:00,0,00:00,0,2005-04-20,11047:23,10493,11047:23,10493,A系统电动泵漏油超标。,11047:23, 依据AMM29-11-21更换A系统电动泵。完成测试正常。 挂签号：XG004902张学文,10493,887477                  ,MX-543639       ,,11719.0,19381.44,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,187950,10044074
73N,73N00230,5091    ,DE    ,CC    ,887477                  ,MX620435        ,29,X,X,FAIL  ,2004-11-22,10124:30,10406,7766:00,10406,2005-09-16,12965:26,12250,10606:56,12250,AF检查液压A系统EMDP壳体漏油。 杨韬,2840:56,"  因航材无料，办DD2021114.     资成顺 L10083061航后完成DD2021114更换A系统EMDP并完成相关测试,系统工作正常,无液压油渗漏.按MM29-11-21  袁宇 P/N:NAS1612-12 NAS1612-10  NAS1612-6",1844,887477                  ,MX-510972       ,,9222.0,16797.13,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,229137,10083053
73N,73N00551,5089    ,DE    ,CC    ,887477                  ,MX-543639       ,29,X,X,FAIL  ,2005-04-20,11047:23,10493,00:00,0,2005-09-23,12459:29,11442,1412:06,949,航前检查发现A系统EMDP渗漏液压油超标 林国恳,1412:06," 按AMM29-15-21更换EMDP,测试无渗漏，工作正常 挂签号0005355 林国恳 
倪震靖",949,887477                  ,MX-503088       ,,18453.0,30723.22,, ,(AOG)HDY MOTOR DRIVE PUMP                                   ,232040,10083142
